"","Word","I_Zscore","I_Mean_Accuracy","I_NMG_Zscore","I_NMG_Mean_Accuracy"
"10398","rigmarole",0.57,0.25,0.61,0.54
"10399","rigorous",-0.11,0.97,0.08,1
"10400","rigorously",0.04,0.88,-0.11,1
"10401","rigs",-0.42,0.82,-0.7,0.96
"10402","rile",0.19,0.55,-0.59,0.96
"10403","rim",-0.55,0.97,-0.54,0.96
"10404","rime",0.17,0.32,-0.49,0.85
"10405","rimless",0.32,0.79,-0.27,0.96
"10406","rimmed",-0.29,0.85,-0.41,0.93
"10407","rims",-0.27,0.82,-0.56,1
"10408","rind",0.28,0.52,-0.42,0.88
"10409","ring",-0.75,1,-0.76,1
"10410","ringed",-0.05,0.91,-0.25,0.96
"10411","ringer",-0.22,1,-0.31,1
"10412","ringers",-0.06,0.88,-0.38,1
"10413","ringing",-0.38,1,-0.53,0.93
"10414","ringings",0.32,0.79,-0.03,0.88
"10415","ringleader",0.06,0.94,-0.23,0.93
"10416","ringler's",0.44,0.41,0.13,0.96
"10417","ringlet",-0.03,0.78,-0.2,1
"10418","ringlets",0,0.81,-0.23,1
"10419","ringmaster",-0.01,0.91,-0.07,1
"10420","rings",-0.79,1,-0.66,1
"10421","ringside",0.01,0.88,-0.14,0.96
"10422","ringworm",-0.07,0.94,-0.38,1
"10423","rink",-0.38,0.85,-0.58,1
"10424","rinker",0.06,0.12,-0.37,0.85
"10425","rinse",-0.37,0.97,-0.68,1
"10426","rinsing",0.23,0.75,-0.02,0.89
"10427","rio",-0.18,0.91,-0.55,1
"10428","riot",-0.45,0.94,-0.77,1
"10429","rioted",-0.04,0.79,-0.07,1
"10430","rioters",0.48,0.62,-0.13,1
"10431","rioting",-0.3,0.77,-0.12,0.97
"10432","riotous",0.06,0.69,0.21,0.81
"10433","riots",-0.34,0.97,-0.64,1
"10434","rip",-0.58,0.97,-0.63,1
"10435","ripcord",0.5,0.45,-0.03,0.89
"10436","ripe",-0.38,0.97,-0.61,1
"10437","ripen",-0.03,0.82,-0.31,1
"10438","ripened",-0.14,0.91,-0.32,0.96
"10439","ripening",0.03,0.88,-0.22,1
"10440","ripped",-0.37,0.94,-0.56,1
"10441","ripping",0.02,0.97,-0.46,0.93
"10442","ripple",-0.5,0.97,-0.76,1
"10443","rippled",-0.41,0.94,-0.55,1
"10444","ripples",-0.44,0.91,-0.45,1
"10445","rippling",-0.05,0.97,-0.2,1
"10446","ripsaw",0.45,0.32,-0.33,0.93
"10447","riptide",0.15,0.75,0.28,1
"10448","rise",-0.64,0.97,-0.73,1
"10449","risen",-0.34,0.97,-0.1,0.8
"10450","riser",-0.25,0.78,-0.47,0.97
"10451","rises",-0.46,0.94,-0.37,1
"10452","rising",-0.5,0.91,-0.55,1
"10453","risk",-0.66,1,-0.6,1
"10454","risked",-0.5,1,-0.58,0.96
"10455","risking",-0.53,1,-0.68,1
"10456","risks",-0.73,0.97,-0.77,0.96
"10457","risky",-0.69,0.97,-0.68,1
"10458","risotto",0.65,0.28,0.19,0.84
"10459","risque",0.13,0.42,-0.13,0.74
"10460","rite",-0.14,0.71,-0.55,1
"10461","rites",0.06,0.83,-0.62,0.96
"10462","ritual",-0.49,0.97,-0.59,1
"10463","ritualism",-0.03,0.88,0.03,0.92
"10464","ritualist",0.02,0.88,-0.1,1
"10465","ritualistic",0.25,0.88,0.41,0.96
"10466","ritualized",0.14,0.9,0.05,1
"10467","rituals",-0.34,1,-0.53,1
"10468","ritz",-0.09,0.76,-0.53,1
"10469","ritzy",0.1,0.56,-0.25,1
"10470","rival",-0.59,0.97,-0.54,0.96
"10471","rivaled",0.07,0.85,-0.14,0.92
"10472","rivalled",0.15,0.48,0.61,0.75
"10473","rivalries",0.07,0.88,0.21,0.89
"10474","rivalry",-0.31,0.94,-0.07,0.86
"10475","rivals",-0.53,0.97,-0.3,0.96
"10476","rival's",-0.37,0.97,-0.44,0.96
"10477","river",-0.54,1,-0.56,1
"10478","riverbank",-0.34,0.97,-0.47,1
"10479","riverbanks",-0.2,0.94,-0.41,1
"10480","riverbed",-0.05,0.97,-0.46,0.93
"10481","riverboat",-0.36,0.97,-0.32,1
"10482","rivers",-0.57,0.97,-0.57,1
"10483","riverside",-0.15,0.97,-0.21,1
"10484","riverside's",0.36,0.88,-0.03,1
"10485","riverview",0.29,0.88,0.15,1
"10486","rivet",0.02,0.84,-0.15,1
"10487","riveting",-0.08,0.65,0.06,0.93
"10488","rivets",-0.17,0.94,-0.37,0.92
"10489","reorientation",0.68,0.79,0.53,1
"10490","reoriented",0.52,0.91,0.41,0.88
"10491","rep",-0.03,0.61,-0.71,0.96
"10492","repaid",-0.22,0.94,-0.4,0.96
"10493","repaint",-0.1,0.91,-0.36,0.92
"10494","repainting",0.04,0.94,-0.1,1
"10495","repair",-0.38,0.94,-0.49,1
"10496","repaired",-0.24,1,-0.41,1
"10497","repairing",-0.12,0.97,-0.32,1
"10498","repairmen",-0.09,0.97,-0.08,1
"10499","repairs",-0.53,1,-0.4,1
"10500","reparable",0.57,0.87,0.44,0.96
"10501","reparation",0.36,0.77,0.11,0.92
"10502","repast",0.2,0.81,-0.21,0.88
"10503","repatriate",1.08,0.48,1.39,0.71
"10504","repatriation",0.89,0.52,0.91,0.3
"10505","repay",-0.32,0.94,-0.44,1
"10506","repayable",0.29,1,0.22,0.96
"10507","repayment",-0.42,0.94,-0.35,1
"10508","repeal",-0.37,0.91,-0.07,0.96
"10509","repealed",0.05,0.94,-0.02,0.89
"10510","repeat",-0.62,1,-0.56,1
"10511","repeated",-0.44,0.97,-0.35,1
"10512","repeatedly",-0.09,0.97,-0.5,1
"10513","repeater",-0.07,0.91,-0.3,1
"10514","repeating",-0.57,1,-0.58,1
"10515","repeats",-0.53,0.97,-0.68,1
"10516","repel",-0.34,0.97,-0.59,0.96
"10517","repelled",-0.26,0.91,-0.56,1
"10518","repellent",-0.23,0.97,-0.05,0.96
"10519","repels",-0.29,0.85,-0.26,0.96
"10520","repent",-0.29,0.91,-0.27,0.96
"10521","repentance",0.02,0.91,0.39,0.92
"10522","repentant",0.58,0.57,0.31,0.83
"10523","repercussion",0.41,0.94,0.12,0.96
"10524","repercussions",0.5,0.87,0.34,1
"10525","repertoire",0.3,0.73,0.23,0.85
"10526","repertory",0.55,0.77,-0.05,0.7
"10527","repetition",-0.26,0.94,-0.16,0.96
"10528","repetitions",0.15,0.94,-0.34,0.86
"10529","repetitious",0.24,0.93,-0.13,0.92
"10530","repetitive",0.01,1,0.02,1
"10531","rephrased",0.28,0.84,0.11,1
"10532","replace",-0.37,1,-0.67,1
"10533","replaced",-0.47,0.97,-0.43,1
"10534","replacement",-0.47,1,-0.36,1
"10535","replacements",-0.3,1,-0.47,1
"10536","replaces",-0.36,1,-0.42,1
"10537","replacing",-0.47,1,-0.46,1
"10538","replanted",0.14,0.88,-0.22,1
"10539","replay",-0.52,1,-0.46,1
"10540","replenish",-0.18,0.91,-0.44,0.93
"10541","replenished",0.09,0.97,-0.24,1
"10542","replenishment",0.38,0.91,0.09,1
"10543","replete",-0.11,0.56,0.19,1
"10544","replica",-0.01,0.97,-0.39,1
"10545","replicate",-0.2,0.97,-0.28,1
"10546","replication",-0.1,0.94,-0.32,1
"10547","replied",-0.43,1,-0.36,1
"10548","replies",-0.44,0.91,-0.21,0.96
"10549","reply",-0.57,0.97,-0.69,1
"10550","replying",-0.37,1,-0.42,1
"10551","reponses",-0.3,0.82,-0.11,0.7
"10552","report",-0.53,0.97,-0.57,1
"10553","reported",-0.48,0.94,-0.4,1
"10554","reportedly",-0.09,0.97,-0.07,1
"10555","reporter",-0.48,0.97,-0.49,1
"10556","reporters",-0.44,0.94,-0.4,0.96
"10557","reporting",-0.38,0.97,-0.52,0.96
"10558","reports",-0.38,1,-0.63,1
"10559","repose",0.01,0.74,-0.1,0.93
"10560","reportorial",0.74,0.36,0.8,0.48
"10561","reposed",0.24,0.91,-0.2,0.96
"10562","repositories",1.09,0.42,0.88,0.74
"10563","repository",0.52,0.88,0.2,0.85
"10564","repossess",0.56,0.85,0.38,0.85
"10565","repossession",0.83,0.85,1.07,0.81
"10566","repot",0.24,0.24,0.11,0.67
"10567","reprehend",0.46,0.61,0.23,0.92
"10568","reprehensible",0.41,0.86,0.21,0.87
"10569","represent",-0.2,0.94,-0.17,1
"10570","representation",0.32,1,-0.19,0.9
"10571","representational",1.24,0.88,0.48,0.96
"10572","representations",0.27,0.94,0.22,0.89
"10573","representative",0.24,1,0.03,1
"10574","representatives",0.28,0.97,-0.02,0.93
"10575","represented",-0.19,1,-0.2,1
"10576","representing",0.24,0.94,-0.09,0.96
"10577","represents",-0.24,0.97,-0.54,1
"10578","repress",-0.37,1,-0.31,1
"10579","repressed",-0.44,1,-0.41,1
"10580","repression",0.09,1,-0.26,1
"10581","repressions",0.1,0.91,-0.13,0.96
"10582","repressive",-0.14,0.97,-0.01,0.96
"10583","reprieve",0.09,0.73,0.06,0.92
"10584","reprimand",0.46,0.79,-0.08,0.96
"10585","reprimanded",0.57,0.87,0.45,0.96
"10586","reprint",-0.28,1,-0.48,1
"10587","reprinted",-0.15,0.94,-0.14,0.96
"10588","reprints",-0.2,0.94,-0.37,0.96
"10589","reprisal",0.18,0.65,-0.05,0.84
"10590","reprisals",0.34,0.59,0.13,0.7
"10591","reprise",-0.24,0.88,-0.4,0.96
"10592","reproach",-0.18,0.86,-0.48,0.96
"10593","reproaches",0.2,0.94,0.09,0.96
"10594","reproachful",0.56,0.91,-0.06,0.93
"10595","reprobate",0.61,0.6,0.65,0.63
"10596","reprobating",1.06,0.34,0.83,0.6
"10597","reproduce",-0.2,0.94,-0.21,1
"10598","reproduced",-0.06,1,-0.12,0.96
"10599","reproduces",0.07,1,-0.07,0.89
"10600","reproducible",1.13,0.71,0.89,0.87
"10601","reproducibilities",1.6,0.61,1.54,0.47
"10602","reproducibility",0.93,0.83,0.5,0.67
"10603","reproducibly",1.23,0.57,0.45,0.39
"10604","reproducing",-0.02,0.97,-0.01,0.96
"10605","reproduction",0.09,1,-0.04,0.96
"10606","reproductions",0.21,1,0.09,1
"10607","reproductive",0.2,1,-0.18,1
"10608","reproof",0.18,0.56,-0.43,0.93
"10609","reprove",0.18,0.76,-0.1,0.89
"10610","reprovingly",0.66,0.59,0.79,0.88
"10611","reps",0.5,0.57,-0.57,1
"10612","reptile",-0.37,0.94,-0.55,1
"10613","reptilian",0.7,0.74,0.67,0.96
"10614","republic",-0.53,0.94,-0.26,1
"10615","republican",-0.27,1,-0.21,1
"10616","republicanism",1.26,0.71,0.33,0.84
"10617","republicans",0.01,0.94,-0.22,1
"10618","republics",-0.01,0.9,0.36,1
"10619","repudiate",0.09,0.59,0.43,0.59
"10620","repudiated",0.66,0.56,1,0.52
"10621","repudiating",0.86,0.74,0.92,0.67
"10622","repudiation",0.85,0.53,1.06,0.46
"10623","repugnance",0.35,0.82,0.35,0.93
"10624","repugnant",0.09,0.82,0.24,0.92
"10625","repulse",-0.23,0.94,-0.3,0.96
"10626","repulsed",0.2,0.94,-0.12,1
"10627","repulsion",-0.28,0.94,0.21,0.96
"10628","repulsions",0.14,0.91,0.07,1
"10629","repulsive",-0.2,0.97,-0.18,1
"10630","reputable",-0.19,0.97,-0.1,0.93
"10631","reputation",-0.4,0.97,-0.27,1
"10632","reputations",0.19,0.94,-0.14,0.96
"10633","reputation's",0.51,0.97,-0.09,1
"10634","repute",0.05,0.94,-0.44,1
"10635","reputed",-0.15,0.82,-0.03,1
"10636","reputedly",0.49,0.75,0.46,0.91
"10637","request",-0.52,0.94,-0.48,1
"10638","requested",-0.17,0.97,-0.36,1
"10639","requesting",-0.1,0.97,-0.32,1
"10640","requests",-0.34,1,-0.56,1
"10641","requiem",0,0.56,-0.01,0.9
"10642","require",-0.47,0.94,-0.33,1
"10643","required",-0.29,1,-0.18,1
"10644","requirement",-0.05,1,-0.29,1
"10645","requirements",-0.34,1,-0.24,1
"10646","requires",-0.28,1,-0.45,1
"10647","requiring",-0.1,0.88,-0.4,1
"10648","requisite",0.32,0.74,0.36,0.72
"10649","requisites",0.52,0.83,0.69,0.92
"10650","requisition",0.41,0.87,0.45,0.88
"10651","requisitioned",1.31,0.8,0.61,0.71
"10652","requital",1.15,0.5,0.79,0.79
"10653","reread",0.36,0.85,-0.03,1
"10654","rerun",0.07,0.73,-0.3,0.96
"10655","resale",-0.15,0.97,-0.23,1
"10656","rescind",0.74,0.48,0.5,0.67
"10657","rescinded",0.94,0.48,0.7,0.61
"10658","rescript",0.68,0.67,0.37,0.89
"10659","rescue",-0.54,0.91,-0.61,1
"10660","rescued",-0.2,0.97,-0.28,0.93
"10661","rescuer",-0.05,0.94,-0.06,0.96
"10662","rescuing",0.04,0.9,0.08,0.96
"10663","resealed",-0.17,1,0.1,1
"10664","research",-0.49,1,-0.42,1
"10665","researchable",0.19,1,0.13,0.96
"10666","researcher",-0.25,0.97,-0.38,1
"10667","researchers",-0.14,1,-0.36,1
"10668","researches",-0.11,0.97,-0.06,0.89
"10669","researching",0.01,1,-0.29,0.96
"10670","reseat",0.4,0.72,0.08,0.93
"10671","resemblance",-0.05,1,-0.19,0.96
"10672","resemble",-0.01,0.88,-0.24,0.96
"10673","resembled",-0.12,1,-0.18,1
"10674","resembles",-0.24,0.91,-0.47,1
"10675","resembling",-0.05,0.97,-0.2,0.93
"10676","resent",-0.22,0.94,-0.4,1
"10677","resented",-0.04,0.94,-0.22,0.92
"10678","resentful",-0.06,0.94,-0.29,1
"10679","resentment",0.17,0.97,0.09,1
"10680","reservations",-0.13,1,-0.16,1
"10681","reserve",-0.56,0.94,-0.27,1
"10682","reserved",-0.2,1,-0.22,0.96
"10683","reservation",-0.16,1,-0.06,1
"10684","reserves",-0.26,1,-0.23,0.96
"10685","reserving",-0.11,0.94,-0.13,1
"10686","reservoir",0.14,0.86,-0.18,1
"10687","reservoirs",0.16,0.97,0.19,0.89
"10688","reset",-0.3,0.94,-0.05,0.96
"10689","resettle",0.3,0.8,0.32,0.93
"10690","resettlement",0.36,0.88,0.51,0.93
"10691","resettling",0.48,0.88,0.22,0.92
"10692","reshaped",-0.21,0.97,-0.37,1
"10693","reshapes",0.27,0.81,0.02,0.96
"10694","reshuffle",0.35,0.82,-0.01,0.96
"10695","reside",-0.23,0.84,-0.37,1
"10696","resided",0.08,0.97,-0.22,1
"10697","residence",-0.26,1,-0.18,1
"10698","residences",0.01,1,0.01,0.93
"10699","residency",-0.15,0.97,-0.32,0.96
"10700","resident",-0.31,0.97,-0.49,0.96
"10701","resins",0.15,0.53,-0.01,0.63
"10702","resiny",-0.51,0.06,0.75,0.61
"10703","resist",-0.46,0.97,-0.41,0.96
"10704","residential",-0.14,1,-0.34,1
"10705","residentially",0.6,0.94,0.23,0.93
"10706","residents",-0.57,1,-0.61,1
"10707","resides",-0.29,0.94,-0.21,1
"10708","residing",-0.12,0.97,-0.18,1
"10709","residual",0.1,0.83,-0.03,0.92
"10710","residue",-0.22,0.89,-0.23,1
"10711","residues",0.1,0.94,0.06,0.92
"10712","resifted",0.7,0.25,1.11,0.58
"10713","resign",-0.15,0.97,-0.43,1
"10714","resignation",0.15,0.97,0.01,1
"10715","resignations",0.7,0.94,0.24,0.96
"10716","resigned",-0.14,0.94,-0.35,1
"10717","resignedly",0.61,0.72,0.79,0.7
"10718","resigning",0.13,0.97,-0.19,0.93
"10719","resigns",-0.25,0.87,-0.21,0.96
"10720","resilience",0.33,0.88,0.15,0.91
"10721","resilient",-0.05,0.85,-0.39,0.89
"10722","resin",0.04,0.68,0.08,0.78
"10723","resinlike",1.45,0.32,0.81,0.86
"10724","resinous",0.71,0.31,0.77,0.53
"10725","resistance",0.04,0.94,0.12,1
"10726","resistances",0.27,0.97,0.11,0.93
"10727","resistant",-0.31,0.94,-0.19,0.96
"10728","resisted",-0.28,0.97,-0.1,0.93
"10729","resistible",0.3,0.97,0.13,1
"10730","resisting",0.09,1,0.04,1
"10731","resistive",0.48,0.81,0.34,0.76
"10732","resistor",0.6,0.65,0.32,0.96
"10733","resistors",0.15,0.75,0.16,0.85
"10734","resists",-0.33,0.97,-0.38,1
"10735","resole",0.44,0.52,0.1,0.74
"10736","resolute",-0.09,0.97,0.01,0.85
"10737","resolutely",0.31,0.88,0.32,0.88
"10738","resolution",-0.34,0.97,-0.34,1
"10739","resolutions",-0.01,0.97,-0.25,1
"10740","resolve",-0.61,1,-0.33,1
"10741","resolved",-0.44,1,-0.4,1
"10742","resolves",-0.25,1,-0.26,1
"10743","resolving",-0.27,1,-0.41,1
"10744","resonance",0,0.88,-0.1,0.92
"10745","resonances",0.21,0.7,0.24,0.85
"10746","resonant",0.4,0.62,0.32,0.85
"10747","resonate",0.17,0.71,-0.09,0.92
"10748","resort",-0.53,1,-0.44,1
"10749","resorted",-0.26,0.97,0.04,1
"10750","resorting",-0.02,1,-0.18,0.84
"10751","resorts",-0.5,0.97,-0.49,1
"10752","resound",0.16,0.88,-0.34,0.96
"10753","resounding",0.12,0.87,-0.14,0.93
"10754","resounds",0.03,0.77,-0.28,0.9
"10755","resource",-0.35,0.97,-0.19,0.96
"10756","resourceful",-0.03,0.97,0.09,1
"10757","resourcefully",0.27,1,0.08,0.96
"10758","resourcefulness",0.66,1,0.3,0.96
"10759","resources",-0.42,0.94,-0.39,1
"10760","respect",-0.57,0.97,-0.5,1
"10761","respectability",0.4,0.97,0.21,1
"10762","respectable",-0.29,0.91,-0.19,1
"10763","respected",-0.25,0.97,-0.23,1
"10764","respectful",-0.28,1,-0.28,1
"10765","respecting",-0.42,1,-0.29,1
"10766","respective",-0.34,0.88,-0.27,1
"10767","respectively",-0.3,0.97,-0.01,1
"10768","respects",-0.46,1,-0.59,1
"10769","respiration",-0.03,1,-0.27,1
"10770","respirator",0.17,1,-0.3,1
"10771","respirators",0.29,0.97,0.21,0.92
"10772","respiratory",-0.05,0.97,0.21,0.96
"10773","respire",0.04,0.65,0.23,0.74
"10774","respite",0.18,0.7,0.36,0.96
"10775","resplendence",1.19,0.31,0.71,0.74
"10776","resplendent",0.87,0.47,0.38,0.71
"10777","respond",-0.45,0.97,-0.54,1
"10778","responded",-0.44,1,-0.33,0.96
"10779","respondent",0.1,0.91,-0.22,1
"10780","respondents",0.28,0.93,-0.05,0.92
"10781","respondent's",0.2,1,0.08,1
"10782","responding",-0.43,1,-0.29,1
"10783","responds",-0.19,1,-0.52,1
"10784","response",-0.54,1,-0.35,1
"10785","responses",-0.38,0.94,-0.31,1
"10786","responsible",-0.36,1,-0.23,0.96
"10787","responsibilities",0.42,0.94,0.07,1
"10788","responsibility",0.13,0.97,-0.34,1
"10789","responsibly",0.12,1,-0.35,0.93
"10790","responsive",-0.13,0.94,-0.35,1
"10791","responsively",0.13,0.97,0.26,1
"10792","responsiveness",0.61,0.97,0.26,0.93
"10793","rest",-0.67,1,-0.8,0.96
"10794","restage",0.45,0.39,0.21,0.75
"10795","restate",0.18,0.94,0.27,0.96
"10796","restatement",0.19,0.91,0.21,0.93
"10797","restates",0.07,0.77,0.52,0.85
"10798","restating",0.46,0.84,0.46,0.93
"10799","restaurant",-0.54,1,-0.55,0.96
"10800","restauranteur",0.98,0.61,0.43,0.57
"10801","restaurants",-0.69,1,-0.64,1
"10802","restaurateur",1.76,0.54,0.5,0.44
"10803","rested",-0.51,0.91,-0.58,1
"10804","restful",-0.48,0.94,-0.49,1
"10805","resting",-0.54,1,-0.71,1
"10806","restrictions",0.21,0.97,0.17,1
"10807","restrictive",0.12,1,0.31,0.96
"10808","restitution",0.35,0.87,0.44,0.96
"10809","restive",0.26,0.53,0.09,0.92
"10810","restively",0.3,0.62,0.35,0.85
"10811","restless",-0.65,0.97,-0.58,1
"10812","restlessness",0.25,1,0.09,0.92
"10813","restock",0.28,0.55,-0.26,0.88
"10814","restorability",0.5,0.93,0.56,0.96
"10815","restoration",-0.2,1,-0.19,1
"10816","restorative",0.29,1,0.89,0.92
"10817","restore",-0.46,0.97,-0.42,1
"10818","restored",-0.14,0.97,-0.17,1
"10819","restorers",0.43,0.79,0.05,1
"10820","restoring",-0.25,0.97,-0.08,1
"10821","restrain",-0.27,0.97,-0.13,1
"10822","restrained",-0.25,1,-0.3,0.96
"10823","restraining",0.2,1,-0.17,1
"10824","restrains",0.32,1,0.17,1
"10825","restraint",-0.26,0.88,-0.1,0.96
"10826","restraints",-0.05,0.97,-0.16,1
"10827","restrict",-0.18,1,0.23,0.96
"10828","restricting",0.18,1,-0.14,1
"10829","restricted",-0.2,1,0.06,1
"10830","restriction",-0.3,1,0.09,1
"10831","restricts",0,0.97,0.09,1
"10832","restructure",0.3,0.91,0.33,0.89
"10833","restructured",0.5,0.94,0.17,0.85
"10834","rests",-0.51,0.94,-0.62,1
"10835","restudy",0.65,0.66,0.58,0.88
"10836","resublimed",1.28,0.28,1.19,0.58
"10837","result",-0.67,1,-0.74,1
"10838","resultant",0.1,0.91,0.18,0.93
"10839","resultants",0.12,0.77,-0.06,0.82
"10840","resulted",-0.46,0.94,-0.33,0.96
"10841","resulting",-0.43,0.97,-0.34,0.92
"10842","results",-0.7,1,-0.68,1
"10843","resume",-0.66,1,-0.43,0.93
"10844","resumed",-0.41,1,-0.49,1
"10845","resuming",-0.25,0.97,-0.17,0.96
"10846","resumption",0.03,0.9,0.21,0.96
"10847","resurface",0.05,0.94,-0.08,0.96
"10848","resurgence",0.27,0.7,0.68,0.89
"10849","resurgent",0.44,0.77,0.2,0.96
"10850","resurrect",0.3,0.77,0.34,1
"10851","resurrected",-0.03,0.91,0.06,1
"10852","resurrecting",0.22,0.91,0.09,0.96
"10853","resurrection",0.1,0.97,-0.2,0.96
"10854","resuscitate",0.78,0.45,1.08,0.86
"10855","resuscitation",0.8,0.65,0.73,0.67
"10856","resuspended",1.52,0.27,1.26,0.82
"10857","resuspension",1.27,0.46,1.26,0.94
"10858","retail",-0.64,0.97,-0.54,0.96
"10859","retailer",-0.29,0.97,-0.37,1
"10860","retailers",-0.21,0.97,-0.05,0.96
"10861","retailing",0.03,0.88,-0.09,0.97
"10862","retain",-0.44,0.97,-0.49,0.96
"10863","retained",-0.3,1,-0.34,1
"10864","retainer",-0.39,0.97,-0.32,1
"10865","retainers",0.05,0.91,-0.01,1
"10866","retaining",-0.25,0.97,-0.23,1
"10867","retains",-0.3,1,-0.44,1
"10868","retake",-0.3,0.88,-0.68,1
"10869","retaliate",0.64,0.94,0.52,0.89
"10870","retaliated",0.23,0.97,0.58,1
"10871","retaliating",0.41,0.89,0.46,0.96
"10872","retaliation",0.31,0.91,0.44,0.96
"10873","retard",-0.42,0.97,-0.17,0.93
"10874","refrigerate",0.34,0.94,-0.07,1
"10875","refrigerated",0.3,0.94,-0.31,1
"10876","refrigeration",0.18,0.96,-0.17,0.96
"10877","refrigerator",0.17,1,-0.18,1
"10878","refrigerators",0.03,0.88,0.07,1
"10879","refuel",0.27,0.84,-0.07,0.96
"10880","refueling",-0.03,0.94,-0.16,1
"10881","refuge",-0.31,0.97,-0.33,0.88
"10882","refugee",-0.47,1,-0.37,1
"10883","refugees",-0.19,0.97,-0.17,0.96
"10884","refund",-0.4,1,-0.42,1
"10885","refunded",0.01,0.91,-0.17,1
"10886","refunds",-0.45,0.97,-0.67,1
"10887","refurbish",0.17,0.76,-0.08,1
"10888","refurbished",0.45,0.81,0.24,1
"10889","refurbishing",0.36,0.79,0.31,1
"10890","refusal",-0.24,0.94,-0.24,1
"10891","refuse",-0.49,0.97,-0.77,0.95
"10892","refused",-0.46,1,-0.34,1
"10893","refuses",-0.51,1,-0.33,1
"10894","refusing",-0.58,0.94,-0.4,1
"10895","refutable",-0.01,0.88,0.1,1
"10896","refutation",0.85,0.59,0.16,0.81
"10897","refute",-0.23,0.76,-0.46,1
"10898","refuted",0.17,0.88,0.05,0.96
"10899","regain",-0.32,0.94,-0.32,1
"10900","regained",0.08,0.91,-0.24,0.96
"10901","regaining",0.05,0.97,-0.01,1
"10902","regains",-0.08,0.91,-0.02,1
"10903","regal",-0.16,0.82,-0.17,0.96
"10904","regaled",0.22,0.27,0.7,0.58
"10905","regalia",0.78,0.39,0.29,0.73
"10906","regard",-0.31,0.94,-0.64,1
"10907","regarded",-0.35,1,-0.35,1
"10908","regarding",-0.5,1,-0.45,1
"10909","regardless",-0.37,0.97,-0.48,1
"10910","regards",-0.58,0.97,-0.44,1
"10911","regatta",0.67,0.32,0.17,0.86
"10912","regattas",0.51,0.38,0.76,0.81
"10913","regency",0.11,0.91,-0.14,1
"10914","regenerate",0.24,0.97,0.14,0.96
"10915","regenerates",0.12,0.94,0.46,1
"10916","regenerating",0.26,0.93,0.2,1
"10917","regeneration",0.3,1,0.19,1
"10918","regent",-0.16,0.85,-0.09,0.84
"10919","regents",0.13,0.91,0.18,0.86
"10920","reggae",0.01,0.91,0.22,0.96
"10921","regicide",0.5,0.24,0.64,0.67
"10922","regime",-0.31,0.88,-0.07,0.88
"10923","regimen",0.25,0.78,-0.09,0.85
"10924","regiment",-0.19,0.97,-0.15,0.96
"10925","regimentation",0.77,0.59,1,0.88
"10926","regimented",0.22,0.82,0.31,0.96
"10927","regiments",-0.27,0.91,-0.07,1
"10928","regiment's",0.17,0.91,0.07,1
"10929","regimes",0.1,0.79,-0.01,0.81
"10930","regina",0.01,0.94,0.2,0.96
"10931","reginald",0.56,0.47,0.64,1
"10932","region",-0.52,0.97,-0.46,0.96
"10933","regional",-0.51,0.97,-0.4,1
"10934","regionalism",0.36,0.85,0.4,0.89
"10935","regionally",0.09,0.88,0.03,0.96
"10936","regions",-0.46,0.91,-0.24,0.92
"10937","region's",-0.22,1,-0.34,1
"10938","register",-0.55,1,-0.63,0.96
"10939","registered",-0.27,0.97,-0.51,1
"10940","registering",0.05,0.94,-0.12,1
"10941","registers",-0.31,0.97,-0.52,1
"10942","registrant",0.73,0.55,0.54,0.75
"10943","registrants",0.81,0.6,0.62,0.8
"10944","registrant's",0.83,0.79,0.82,0.78
"10945","registrar",0.34,0.94,-0.11,0.86
"10946","registration",-0.15,0.91,-0.37,0.96
"10947","registrations",0.39,1,0.05,1
"10948","registries",0.71,0.77,0.3,0.96
"10949","registry",-0.25,0.97,-0.2,0.96
"10950","regress",-0.31,0.91,-0.32,1
"10951","regression",-0.21,1,-0.3,1
"10952","regret",-0.29,1,-0.4,1
"10953","regretfully",0.07,1,-0.32,0.96
"10954","regrets",-0.31,0.97,-0.51,1
"10955","regrettable",0.2,0.88,0.14,1
"10956","regrettably",0.06,0.94,-0.05,0.96
"10957","regretted",-0.18,0.91,-0.44,1
"10958","reground",0.63,0.76,-0.16,0.89
"10959","regroup",-0.16,0.91,-0.39,1
"10960","regrouped",0,0.94,-0.09,1
"10961","regrouping",0.05,0.94,-0.06,1
"10962","regular",-0.65,0.97,-0.66,1
"10963","regularity",-0.07,0.97,-0.22,0.96
"10964","regularize",0.24,0.94,-0.12,0.79
"10965","regularly",-0.35,1,-0.52,0.97
"10966","regulars",-0.21,0.94,-0.62,1
"10967","regulate",-0.42,1,-0.35,1
"10968","regulated",-0.43,0.91,-0.47,1
"10969","regulating",0.15,0.91,-0.32,0.96
"10970","regulation",-0.26,0.97,-0.08,0.96
"10971","regulations",-0.22,1,-0.34,1
"10972","regulative",0.75,0.72,0.41,0.92
"10973","rehabilitations",0.6,0.96,0.2,0.96
"10974","reharmonization",1.39,0.52,1.22,0.92
"10975","regulator",-0.31,1,-0.49,0.96
"10976","regulatory",-0.14,0.94,-0.03,0.89
"10977","regurgitate",0.75,0.76,0.62,0.92
"10978","regurgitation",0.96,0.67,1.04,0.88
"10979","rehabilitate",0.46,0.9,0.1,1
"10980","rehabilitating",0.58,0.97,0.43,0.96
"10981","rehabilitation",0.18,0.97,0.25,1
"10982","rehash",0.41,0.64,-0.46,0.96
