"","Word","I_Zscore","I_Mean_Accuracy","I_NMG_Zscore","I_NMG_Mean_Accuracy"
"138","workman's",-0.26,1,-0.59,0.96
"139","workmanship",0.05,0.97,-0.44,0.96
"140","workmen",-0.4,0.97,-0.65,1
"141","workout",-0.68,1,-0.65,1
"142","workouts",-0.37,0.97,-0.4,0.96
"143","workpeople",0.14,0.97,-0.32,1
"144","workpiece",0.07,0.88,-0.41,0.96
"145","workroom",-0.05,0.91,-0.32,0.96
"146","works",-0.5,0.97,-0.68,1
"147","work's",-0.53,0.97,-0.76,1
"148","worksheet",-0.34,1,-0.67,1
"149","workshop",-0.41,0.97,-0.64,0.96
"150","workshops",-0.41,1,-0.6,1
"151","worktable",0.25,0.88,-0.14,0.96
"152","world",-0.77,1,-0.66,1
"153","worldly",0.06,1,-0.33,0.96
"154","worlds",-0.47,0.97,-0.6,1
"155","world's",-0.46,1,-0.63,0.96
"156","worldshaking",0.53,0.88,0.51,0.96
"157","worldwide",-0.46,0.94,-0.46,0.96
"158","worm",-0.57,0.97,-0.67,0.78
"159","wormhole",0.46,0.76,-0.02,1
"160","worms",-0.63,1,-0.65,1
"161","wormwood",0.27,0.73,0.49,0.96
"162","wormy",0,0.76,-0.24,1
"163","worn",-0.66,1,-0.57,0.96
"164","wornout",0.72,0.55,0.07,0.93
"165","worried",-0.65,1,-0.7,1
"166","worriedly",0.17,0.78,-0.27,0.93
"167","worries",-0.58,0.97,-0.6,1
"168","worrisome",0.51,0.84,-0.13,1
"169","worry",-0.69,0.94,-0.69,1
"170","worrying",-0.49,0.97,-0.42,1
"171","worse",-0.5,1,-0.75,1
"172","worsen",0.13,0.68,-0.42,0.92
"173","worsened",0.12,0.82,-0.17,0.93
"174","worsens",0.14,0.81,-0.4,0.92
"175","worship",-0.62,0.9,-0.59,1
"176","worshiped",-0.32,0.94,-0.39,1
"177","worshipful",0.27,1,-0.21,0.96
"178","worshiping",-0.23,0.91,-0.46,1
"179","worshipped",-0.12,0.97,-0.31,1
"180","worshippers",-0.14,1,-0.06,1
"181","worshipping",-0.07,0.94,-0.38,0.96
"182","worst",-0.41,0.97,-0.62,1
"183","worsted",0.24,0.35,-0.04,0.85
"184","wort",0.04,0.59,-0.59,0.89
"185","worth",-0.63,0.97,-0.74,1
"186","worthiest",0.12,0.91,-0.08,0.89
"187","worthless",-0.21,1,-0.62,1
"188","worthlessness",0.61,1,0.02,1
"189","worthwhile",-0.04,0.94,-0.43,1
"190","worthy",-0.57,1,-0.53,1
"191","would",-0.57,1,-0.57,1
"192","wouldbe",0,0.44,0.1,1
"193","wouldn't",-0.15,0.97,-0.55,1
"194","wound",-0.71,1,-0.58,0.93
"195","wounded",-0.51,0.94,-0.46,1
"196","wounding",0,0.97,0.05,0.96
"197","wounds",-0.57,1,-0.51,1
"198","wove",0.21,0.65,-0.32,0.93
"199","woven",-0.18,0.94,-0.47,1
"200","wow",-0.3,1,-0.6,1
"201","wrack",0.15,0.56,-0.41,0.93
"202","wraith",-0.16,0.39,0.46,0.7
"203","wrangle",-0.05,0.84,-0.53,0.96
"204","wrangled",-0.11,0.97,-0.25,0.96
"205","wrangler",-0.29,0.94,-0.48,1
"206","wrap",-0.82,1,-0.69,1
"207","wrapped",-0.66,1,-0.12,0.93
"208","wrapper",-0.33,0.97,-0.59,1
"209","wrappers",-0.29,0.94,-0.47,1
"210","wrapping",-0.43,1,-0.45,1
"211","wraps",-0.58,1,-0.69,1
"212","wrath",-0.32,0.94,-0.51,1
"213","wrathful",0.26,0.91,-0.07,0.96
"214","wreak",-0.46,0.76,0.02,0.83
"215","wreath",-0.28,0.97,-0.02,1
"216","wreathe",0.02,0.65,0.32,0.7
"217","wreathed",0.08,0.88,-0.02,0.68
"218","wreaths",0.14,0.91,0.05,0.86
"219","wreck",-0.6,0.94,-0.54,1
"220","wreckage",-0.02,0.94,-0.25,0.96
"221","wrecked",-0.24,1,-0.41,1
"222","wrecker",-0.32,0.94,-0.31,1
"223","wrecking",-0.17,1,-0.33,0.96
"224","wren",-0.07,0.5,-0.11,1
"225","wrench",-0.54,0.97,-0.39,1
"226","wrenched",-0.14,1,-0.12,0.93
"227","wrenches",-0.08,0.97,-0.28,0.96
"228","wrenching",-0.13,0.94,-0.27,0.96
